S.No	VertexId	UserId	WorkLoad
310	  1056		  1718	  15
311	  1059		  1752	  15
312	  1062		  1758	  15
313	  1065		  1768	  15
314	  1068		  1774	  15
315	  1071		  1783	  15
316	  1074		  1787	  15
317	  1077		  1788	  15
318	  1080		  1798	  15
319	  1083		  1861	  15
320	  1086		  1864	  15
321	  1089		  1982	  15
322	  1092		  2409	  15
323	  1095		  2651	  15
324	  1098		  2843	  15
325	  1101		  2909	  15
326	  1105		  3892	  15
327	  1108		  4037	  15
328	  1111		  4134	  15
329	  1114		  4792	  15
330	  1117		  4942	  15
331	  1120		  5323	  15
332	  1123		  5697	  15
333	  1126		  6227	  15
334	  1129		  6330	  15
335	  1132		  6624	  15
336	  1135		  6765	  15
337	  1138		  6790	  15
338	  1141		  6965	  15
339	  1144		  7161	  15
340	  1147		  7632	  15
341	  1151		  8290	  15
342	  1154		  7	  15
343	  1159		  32	  15
344	  1169		  105	  15
345	  1176		  524	  15
346	  1179		  1190	  15
347	  1182		  1193	  15
348	  1185		  1425	  15
349	  1189		  1919	  15
350	  1193		  8287	  15
351	  1204		  36	  15
352	  1208		  49	  15
353	  1225		  144	  15
354	  1228		  150	  15
355	  1283		  389	  15
356	  1306		  506	  15
357	  1320		  587	  15
358	  1329		  607	  15
359	  1337		  622	  15
360	  1340		  624	  15
361	  1343		  627	  15
362	  1346		  628	  15
363	  1349		  631	  15
364	  1352		  636	  15
365	  1355		  637	  15
366	  1361		  657	  15
367	  1364		  658	  15
368	  1373		  674	  15
369	  1377		  677	  15
370	  1380		  681	  15
371	  1383		  687	  15
372	  1387		  715	  15
373	  1390		  719	  15
374	  1394		  725	  15
375	  1399		  749	  15
376	  1403		  760	  15
377	  1407		  778	  15
378	  1413		  806	  15
379	  1416		  810	  15
380	  1419		  817	  15
381	  1422		  822	  15
382	  1425		  844	  15
383	  1430		  866	  15
384	  1433		  868	  15
385	  1436		  875	  15
386	  1439		  878	  15
387	  1443		  882	  15
388	  1448		  938	  15
389	  1451		  977	  15
390	  1454		  1092	  15
391	  1458		  9	  15
392	  1511		  517	  15
393	  1514		  559	  15
394	  1521		  626	  15
395	  1533		  918	  15
396	  1538		  982	  15
397	  1541		  1049	  15
398	  1544		  1103	  15
399	  1547		  1384	  15
400	  1551		  1580	  15
401	  1554		  1618	  15
402	  1558		  1717	  15
403	  1561		  1855	  15
404	  1564		  1966	  15
405	  1643		  743	  15
406	  1646		  746	  15
407	  1649		  748	  15
408	  1652		  750	  15
409	  1661		  11	  15
410	  1666		  15	  15
411	  1685		  72	  15
412	  1692		  95	  15
413	  1709		  204	  15
414	  1718		  230	  15
415	  1738		  313	  15
416	  1745		  332	  15
417	  1748		  334	  15
418	  1751		  338	  15
419	  1754		  350	  15
420	  1757		  372	  15
421	  1763		  429	  15
422	  1770		  465	  15
423	  1780		  575	  15
424	  1787		  608	  15
425	  1802		  644	  15
426	  1805		  647	  15
427	  1818		  684	  15
428	  1824		  705	  15
429	  1828		  707	  15
430	  1831		  710	  15
431	  1837		  722	  15
432	  1847		  744	  15
433	  1857		  762	  15
434	  1860		  763	  15
435	  1863		  764	  15
436	  1867		  771	  15
437	  1872		  793	  15
438	  1877		  803	  15
439	  1880		  805	  15
440	  1887		  825	  15
441	  1891		  829	  15
442	  1894		  836	  15
443	  1897		  837	  15
444	  1900		  838	  15
445	  1903		  839	  15
446	  1907		  849	  15
447	  1910		  853	  15
448	  1914		  859	  15
449	  1922		  873	  15
450	  1929		  887	  15
451	  1936		  908	  15
452	  1942		  929	  15
453	  1946		  934	  15
454	  1949		  935	  15
455	  1953		  937	  15
456	  1956		  941	  15
457	  1959		  942	  15
458	  1962		  943	  15
459	  1965		  945	  15
460	  1968		  946	  15
461	  1971		  947	  15
462	  1975		  956	  15
463	  1978		  958	  15
464	  1984		  968	  15
465	  1988		  975	  15
466	  1993		  985	  15
467	  1996		  989	  15
468	  2001		  999	  15
469	  2004		  1000	  15
470	  2007		  1006	  15
471	  2010		  1012	  15
472	  2013		  1018	  15
473	  2017		  1031	  15
474	  2021		  1034	  15
475	  2027		  1061	  15
476	  2031		  1075	  15
477	  2034		  1080	  15
478	  2038		  1097	  15
479	  2042		  1111	  15
480	  2045		  1124	  15
481	  2048		  1127	  15
482	  2051		  1128	  15
483	  2054		  1137	  15
484	  2058		  1151	  15
485	  2061		  1154	  15
486	  2066		  1164	  15
487	  2069		  1165	  15
488	  2074		  1185	  15
489	  2077		  1186	  15
490	  2081		  1191	  15
491	  2085		  1196	  15
492	  2088		  1199	  15
493	  2091		  1200	  15
494	  2094		  1201	  15
495	  2097		  1203	  15
496	  2100		  1211	  15
497	  2107		  1230	  15
498	  2110		  1239	  15
499	  2114		  1243	  15
500	  2118		  1250	  15
501	  2122		  1259	  15
502	  2125		  1260	  15
503	  2129		  1279	  15
504	  2132		  1282	  15
505	  2135		  1284	  15
506	  2138		  1285	  15
507	  2141		  1286	  15
508	  2144		  1296	  15
509	  2148		  1305	  15
510	  2151		  1307	  15
511	  2154		  1310	  15
512	  2157		  1319	  15
513	  2161		  1322	  15
514	  2165		  1330	  15
515	  2168		  1353	  15
516	  2171		  1360	  15
517	  2174		  1372	  15
518	  2177		  1374	  15
519	  2180		  1375	  15
520	  2184		  1378	  15
521	  2187		  1382	  15
522	  2191		  1385	  15
523	  2198		  1402	  15
524	  2201		  1407	  15
525	  2204		  1411	  15
526	  2208		  1413	  15
527	  2211		  1418	  15
528	  2214		  1420	  15
529	  2219		  1435	  15
530	  2222		  1437	  15
531	  2228		  1444	  15
532	  2238		  1482	  15
533	  2243		  1486	  15
534	  2249		  1492	  15
535	  2252		  1496	  15
536	  2262		  1520	  15
537	  2265		  1521	  15
538	  2273		  1534	  15
539	  2277		  1542	  15
540	  2280		  1547	  15
541	  2284		  1550	  15
542	  2290		  1565	  15
543	  2293		  1566	  15
544	  2296		  1583	  15
545	  2299		  1585	  15
546	  2302		  1592	  15
547	  2305		  1608	  15
548	  2309		  1613	  15
549	  2313		  1621	  15
550	  2316		  1622	  15
551	  2319		  1628	  15
552	  2322		  1629	  15
553	  2325		  1633	  15
554	  2328		  1637	  15
555	  2331		  1638	  15
556	  2335		  1646	  15
557	  2339		  1649	  15
558	  2343		  1653	  15
559	  2348		  1658	  15
560	  2351		  1661	  15
561	  2356		  1672	  15
562	  2360		  1680	  15
563	  2363		  1687	  15
564	  2366		  1688	  15
565	  2371		  1697	  15
566	  2374		  1700	  15
567	  2378		  1706	  15
568	  2381		  1707	  15
569	  2384		  1714	  15
570	  2390		  1726	  15
571	  2393		  1729	  15
572	  2396		  1730	  15
573	  2399		  1732	  15
574	  2402		  1746	  15
575	  2405		  1747	  15
576	  2408		  1749	  15
577	  2412		  1757	  15
578	  2417		  1769	  15
579	  2420		  1771	  15
580	  2423		  1772	  15
581	  2427		  1780	  15
582	  2433		  1791	  15
583	  2437		  1802	  15
584	  2440		  1805	  15
585	  2443		  1811	  15
586	  2446		  1816	  15
587	  2449		  1835	  15
588	  2452		  1836	  15
589	  2455		  1842	  15
590	  2458		  1847	  15
591	  2461		  1848	  15
592	  2464		  1849	  15
593	  2468		  1857	  15
594	  2471		  1858	  15
595	  2474		  1859	  15
596	  2479		  1880	  15
597	  2482		  1884	  15
598	  2485		  1888	  15
599	  2488		  1893	  15
600	  2491		  1901	  15
601	  2494		  1903	  15
602	  2497		  1908	  15
603	  2501		  1920	  15
604	  2504		  1927	  15
605	  2507		  1953	  15
606	  2510		  1956	  15
607	  2513		  1963	  15
608	  2516		  1964	  15
609	  2519		  1965	  15
610	  2523		  1969	  15
611	  2526		  1973	  15
612	  2529		  1977	  15
613	  2532		  1979	  15
614	  2535		  1983	  15
615	  2538		  1985	  15
616	  2541		  1987	  15
617	  2544		  1990	  15
618	  2547		  1991	  15
619	  2550		  1992	  15
620	  2553		  1997	  15
621	  2556		  2004	  15
622	  2559		  2007	  15
623	  2562		  2014	  15
624	  2565		  2055	  15
625	  2568		  2060	  15
626	  2571		  2062	  15
627	  2574		  2066	  15
628	  2577		  2071	  15
629	  2580		  2073	  15
630	  2583		  2076	  15
631	  2586		  2079	  15
632	  2589		  2085	  15
633	  2592		  2091	  15
634	  2595		  2095	  15
635	  2598		  2097	  15
636	  2601		  2101	  15
637	  2604		  2109	  15
638	  2607		  2114	  15
639	  2610		  2117	  15
640	  2613		  2119	  15
641	  2616		  2128	  15
642	  2619		  2134	  15
643	  2622		  2137	  15
644	  2625		  2144	  15
645	  2628		  2145	  15
646	  2631		  2151	  15
647	  2634		  2157	  15
648	  2637		  2168	  15
649	  2640		  2178	  15
650	  2643		  2181	  15
651	  2646		  2182	  15
652	  2649		  2193	  15
653	  2652		  2202	  15
654	  2655		  2205	  15
655	  2658		  2206	  15
656	  2661		  2210	  15
657	  2664		  2237	  15
658	  2667		  2240	  15
659	  2670		  2241	  15
660	  2673		  2246	  15
661	  2676		  2252	  15
662	  2679		  2253	  15
663	  2682		  2257	  15
664	  2685		  2273	  15
665	  2688		  2289	  15
666	  2691		  2294	  15
667	  2694		  2328	  15
668	  2697		  2329	  15
669	  2700		  2332	  15
670	  2703		  2333	  15
671	  2706		  2339	  15
672	  2709		  2341	  15
673	  2712		  2345	  15
674	  2715		  2350	  15
675	  2718		  2362	  15
676	  2721		  2364	  15
677	  2724		  2381	  15
678	  2727		  2384	  15
679	  2730		  2385	  15
680	  2733		  2397	  15
681	  2736		  2400	  15
682	  2740		  2410	  15
683	  2743		  2411	  15
684	  2746		  2426	  15
685	  2749		  2435	  15
686	  2752		  2456	  15
687	  2755		  2470	  15
688	  2758		  2475	  15
689	  2761		  2479	  15
690	  2764		  2484	  15
691	  2767		  2485	  15
692	  2770		  2490	  15
693	  2773		  2499	  15
694	  2776		  2504	  15
695	  2779		  2506	  15
696	  2782		  2508	  15
697	  2785		  2517	  15
698	  2788		  2535	  15
699	  2791		  2544	  15
700	  2794		  2565	  15
701	  2797		  2570	  15
702	  2800		  2575	  15
703	  2803		  2579	  15
704	  2806		  2580	  15
705	  2809		  2585	  15
706	  2812		  2587	  15
707	  2815		  2593	  15
708	  2818		  2595	  15
709	  2821		  2604	  15
710	  2824		  2612	  15
711	  2827		  2619	  15
712	  2830		  2625	  15
713	  2833		  2643	  15
714	  2836		  2646	  15
715	  2839		  2653	  15
716	  2842		  2655	  15
717	  2845		  2657	  15
718	  2848		  2665	  15
719	  2851		  2669	  15
720	  2854		  2685	  15
721	  2857		  2686	  15
722	  2860		  2696	  15
723	  2863		  2720	  15
724	  2866		  2727	  15
725	  2869		  2746	  15
726	  2872		  2754	  15
727	  2875		  2760	  15
728	  2878		  2763	  15
729	  2881		  2775	  15
730	  2884		  2777	  15
731	  2887		  2787	  15
732	  2890		  2794	  15
733	  2893		  2811	  15
734	  2897		  2859	  15
735	  2900		  2871	  15
736	  2903		  2900	  15
737	  2906		  2923	  15
738	  2909		  2932	  15
739	  2912		  2958	  15
740	  2915		  2981	  15
741	  2918		  3002	  15
742	  2921		  3005	  15
743	  2924		  3007	  15
744	  2927		  3010	  15
745	  2930		  3014	  15
746	  2933		  3024	  15
747	  2936		  3026	  15
748	  2939		  3028	  15
749	  2942		  3034	  15
750	  2945		  3059	  15
751	  2948		  3073	  15
752	  2951		  3084	  15
753	  2954		  3092	  15
754	  2957		  3114	  15
755	  2960		  3117	  15
756	  2963		  3125	  15
757	  2966		  3136	  15
758	  2969		  3140	  15
759	  2972		  3144	  15
760	  2975		  3180	  15
761	  2978		  3192	  15
762	  2981		  3258	  15
763	  2984		  3260	  15
764	  2987		  3284	  15
765	  2990		  3291	  15
766	  2993		  3309	  15
767	  2996		  3321	  15
768	  2999		  3334	  15
769	  3003		  3394	  15
770	  3006		  3404	  15
771	  3009		  3433	  15
772	  3012		  3439	  15
773	  3015		  3443	  15
774	  3018		  3447	  15
775	  3021		  3452	  15
776	  3024		  3453	  15
777	  3027		  3454	  15
778	  3030		  3458	  15
779	  3033		  3463	  15
780	  3036		  3464	  15
781	  3039		  3480	  15
782	  3042		  3529	  15
783	  3045		  3537	  15
784	  3048		  3557	  15
785	  3051		  3562	  15
786	  3054		  3568	  15
787	  3057		  3607	  15
788	  3060		  3615	  15
789	  3063		  3631	  15
790	  3066		  3635	  15
791	  3069		  3645	  15
792	  3072		  3650	  15
793	  3075		  3660	  15
794	  3078		  3661	  15
795	  3081		  3680	  15
796	  3084		  3748	  15
797	  3088		  3787	  15
798	  3091		  3800	  15
799	  3094		  3806	  15
800	  3097		  3807	  15
801	  3100		  3812	  15
802	  3103		  3830	  15
803	  3106		  3843	  15
804	  3109		  3847	  15
805	  3112		  3871	  15
806	  3116		  3903	  15
807	  3119		  3926	  15
808	  3122		  3937	  15
809	  3125		  3956	  15
810	  3128		  3958	  15
811	  3131		  3967	  15
812	  3134		  3970	  15
813	  3137		  4011	  15
814	  3140		  4013	  15
815	  3143		  4021	  15
816	  3146		  4024	  15
817	  3149		  4040	  15
818	  3152		  4043	  15
819	  3155		  4044	  15
820	  3158		  4055	  15
821	  3161		  4058	  15
822	  3164		  4065	  15
823	  3167		  4072	  15
824	  3170		  4088	  15
825	  3173		  4103	  15
826	  3176		  4124	  15
827	  3179		  4162	  15
828	  3182		  4179	  15
829	  3185		  4201	  15
830	  3188		  4212	  15
831	  3191		  4231	  15
832	  3194		  4247	  15
833	  3197		  4256	  15
834	  3200		  4261	  15
835	  3203		  4263	  15
836	  3206		  4266	  15
837	  3209		  4269	  15
838	  3212		  4289	  15
839	  3215		  4290	  15
840	  3218		  4297	  15
841	  3221		  4299	  15
842	  3224		  4335	  15
843	  3227		  4384	  15
844	  3230		  4417	  15
845	  3233		  4422	  15
846	  3236		  4424	  15
847	  3239		  4463	  15
848	  3242		  4485	  15
849	  3245		  4510	  15
850	  3248		  4528	  15
851	  3251		  4531	  15
852	  3254		  4547	  15
853	  3257		  4578	  15
854	  3260		  4613	  15
855	  3263		  4661	  15
856	  3266		  4662	  15
857	  3269		  4706	  15
858	  3272		  4709	  15
859	  3275		  4719	  15
860	  3278		  4796	  15
861	  3281		  4808	  15
862	  3284		  4811	  15
863	  3287		  4814	  15
864	  3290		  4820	  15
865	  3293		  4827	  15
866	  3296		  4938	  15
867	  3299		  4962	  15
868	  3302		  5026	  15
869	  3305		  5037	  15
870	  3308		  5055	  15
871	  3311		  5073	  15
872	  3314		  5092	  15
873	  3317		  5100	  15
874	  3320		  5106	  15
875	  3323		  5130	  15
876	  3326		  5132	  15
877	  3329		  5144	  15
878	  3332		  5802	  15
879	  3335		  6170	  15
880	  3338		  6496	  15
881	  3341		  6715	  15
882	  3344		  6739	  15
883	  3347		  8286	  15
884	  3352		  8291	  15
885	  3355		  8293	  15
886	  3358		  12	  15
887	  3393		  663	  15
888	  3399		  697	  15
889	  3423		  2708	  15
890	  3426		  3371	  15
891	  3430		  4233	  15
892	  3435		  13	  15
893	  3448		  14	  15
894	  3484		  324	  15
895	  3491		  368	  15
896	  3506		  477	  15
897	  3530		  797	  15
898	  3535		  1053	  15
899	  3539		  1123	  15
900	  3554		  2016	  15
901	  3576		  8285	  15
902	  3598		  417	  15
903	  3606		  737	  15
904	  3612		  974	  15
905	  3620		  2229	  15
906	  3623		  2398	  15
907	  3632		  4561	  15
908	  3635		  4600	  15
909	  3638		  4645	  15
910	  3641		  4658	  15
911	  3645		  7871	  15
912	  3649		  8292	  15
913	  3652		  16	  15
914	  3669		  17	  15
915	  3716		  18	  15
916	  3769		  20	  15
917	  3815		  321	  15
918	  3833		  425	  15
919	  3877		  861	  15
920	  3881		  896	  15
921	  3888		  981	  15
922	  3895		  1044	  15
923	  3909		  1352	  15
924	  3921		  1604	  15
925	  3937		  2165	  15
926	  3940		  2281	  15
927	  3943		  2285	  15
928	  3946		  2324	  15
929	  3950		  2348	  15
930	  3957		  2693	  15
931	  3960		  2774	  15
932	  3965		  2828	  15
933	  3968		  2877	  15
934	  3972		  3027	  15
935	  3977		  3456	  15
936	  3980		  3516	  15
937	  3983		  3614	  15
938	  3988		  4373	  15
939	  3991		  5327	  15
940	  3994		  5714	  15
941	  3997		  5775	  15
942	  4000		  5780	  15
943	  4003		  5814	  15
944	  4006		  5818	  15
945	  4009		  6229	  15
946	  4012		  6262	  15
947	  4015		  6780	  15
948	  4018		  7726	  15
949	  4021		  8288	  15
950	  4024		  21	  15
951	  4074		  794	  15
952	  4103		  2814	  15
953	  4106		  22	  15
954	  4146		  601	  15
955	  4154		  670	  15
956	  4178		  1029	  15
957	  4181		  1039	  15
958	  4189		  1593	  15
959	  4194		  24	  15
960	  4222		  311	  15
961	  4243		  633	  15
962	  4261		  742	  15
963	  4269		  769	  15
964	  4278		  856	  15
965	  4301		  1100	  15
966	  4315		  1267	  15
967	  4322		  1315	  15
968	  4327		  1357	  15
969	  4331		  1416	  15
970	  4334		  1419	  15
971	  4339		  1473	  15
972	  4348		  1548	  15
973	  4362		  1705	  15
974	  4366		  1723	  15
975	  4370		  1734	  15
976	  4373		  1754	  15
977	  4378		  1781	  15
978	  4381		  1808	  15
979	  4384		  1814	  15
980	  4390		  1837	  15
981	  4418		  2209	  15
982	  4421		  2225	  15
983	  4425		  2264	  15
984	  4428		  2276	  15
985	  4431		  2323	  15
986	  4438		  2354	  15
987	  4441		  2371	  15
988	  4444		  2375	  15
989	  4451		  2516	  15
990	  4454		  2542	  15
991	  4457		  2560	  15
992	  4467		  2660	  15
993	  4470		  2667	  15
994	  4474		  2697	  15
995	  4477		  2707	  15
996	  4484		  2815	  15
997	  4487		  2819	  15
998	  4490		  2822	  15
999	  4493		  2830	  15
1000	  4497		  2922	  15
1001	  4500		  2926	  15
1002	  4503		  2955	  15
1003	  4506		  2963	  15
1004	  4509		  2999	  15
1005	  4512		  3018	  15
1006	  4516		  3089	  15
1007	  4520		  3164	  15
1008	  4524		  3351	  15
1009	  4528		  3408	  15
1010	  4531		  3410	  15
1011	  4540		  3473	  15
1012	  4545		  3586	  15
1013	  4549		  3643	  15
1014	  4555		  3792	  15
1015	  4560		  3854	  15
1016	  4563		  3898	  15
1017	  4567		  3910	  15
1018	  4572		  4276	  15
1019	  4576		  4310	  15
1020	  4579		  4338	  15
1021	  4582		  4349	  15
1022	  4591		  4712	  15
1023	  4598		  4944	  15
1024	  4601		  4953	  15
1025	  4604		  4999	  15
1026	  4610		  5123	  15
1027	  4613		  5162	  15
1028	  4618		  5341	  15
1029	  4621		  5412	  15
1030	  4624		  5423	  15
1031	  4627		  5484	  15
1032	  4630		  5511	  15
1033	  4633		  5596	  15
1034	  4638		  5863	  15
1035	  4641		  6097	  15
1036	  4645		  6272	  15
1037	  4648		  6441	  15
1038	  4652		  6566	  15
1039	  4655		  6833	  15
1040	  4658		  6855	  15
1041	  4661		  6869	  15
1042	  4664		  6948	  15
1043	  4667		  6955	  15
1044	  4670		  7119	  15
1045	  4673		  7143	  15
1046	  4676		  7144	  15
1047	  4800		  1030	  15
1048	  4803		  1077	  15
1049	  4818		  2801	  15
1050	  4821		  6251	  15
1051	  4943		  1023	  15
1052	  4947		  1038	  15
1053	  4956		  1166	  15
1054	  5007		  2120	  15
1055	  5010		  2135	  15
1056	  5016		  2297	  15
1057	  5028		  2594	  15
1058	  5031		  2599	  15
1059	  5035		  2620	  15
1060	  5042		  2689	  15
1061	  5046		  2831	  15
1062	  5049		  2834	  15
1063	  5056		  3150	  15
1064	  5061		  3274	  15
1065	  5071		  3489	  15
1066	  5079		  4099	  15
1067	  5083		  4303	  15
1068	  5086		  4483	  15
1069	  5089		  4574	  15
1070	  5094		  4717	  15
1071	  5097		  4781	  15
1072	  5100		  4929	  15
1073	  5103		  5022	  15
1074	  5108		  5459	  15
1075	  5111		  5529	  15
1076	  5114		  5605	  15
1077	  5119		  5799	  15
1078	  5122		  5804	  15
1079	  5125		  5822	  15
1080	  5128		  5897	  15
1081	  5131		  6006	  15
1082	  5134		  6044	  15
1083	  5137		  6151	  15
1084	  5140		  6437	  15
1085	  5145		  7115	  15
1086	  5148		  7289	  15
1087	  5152		  7908	  15
1088	  5155		  8174	  15
1089	  5224		  37	  15
1090	  5241		  3976	  15
1091	  5245		  4735	  15
1092	  5304		  6123	  15
1093	  5307		  40	  15
1094	  5320		  26	  15
1095	  5396		  419	  15
1096	  5419		  41	  15
1097	  5451		  42	  15
1098	  5496		  823	  15
1099	  5504		  1024	  15
1100	  5543		  6458	  15
1101	  5546		  7108	  15
1102	  5550		  43	  15
1103	  5556		  44	  15
1104	  5587		  2652	  15
1105	  5591		  3813	  15
1106	  5594		  4687	  15
1107	  5597		  4795	  15
1108	  5600		  4875	  15
1109	  5605		  5439	  15
1110	  5609		  6306	  15
1111	  5612		  6432	  15
1112	  5616		  7092	  15
1113	  5619		  8295	  15
1114	  5622		  45	  15
1115	  5632		  46	  15
